"id","episode_id","event","speaker","text"
"35,056",148,Speech,Tony Jones,"Thank you. So that was I Can Change Your Mind About Climate Change and joining our panel for this special edition of Q&A tonight, the director of the Ipsos Mackay Report, public opinion researcher, Rebecca Huntley; mining magnate Clive Palmer; the co-stars of our documentary, climate change campaigner Anna Rose and climate sceptic Nick Minchin; and the chief executive of the CSIRO, Australia's leading science organisation, Megan Clark. Please welcome our panel."
"35,057",148,Speech,Tony Jones,"Well, our audience represents a wide range of views on climate change, plus a handful of expert voices in the audience so you can join the Twitter conversation using the hash tag on your screen and keep an eye out for your chance to share your opinions on qandavote.tv. Our first question comes from in the audience. It's from Jenny Curtis."
"35,058",148,Speech,Jenny Curtis,"Thank you. Firstly, I'd like to acknowledge the enormous contribution that coal has made to our modern lives here in Australia and to the mining families that have helped build what we have today. Having said that, as a mother of three school-aged children, I'm gravely concerned about our continuing use of fossil fuels. Given that the energy departments in India, China and the USA are all saying that solar will provide electricity cheaper than coal in the next few years, when will Australia's politicians and business leaders start the real transition work that the other countries are well ahead of us on and by investing in large scale solar? And do you think that there is any chance that we will cease digging, using and selling our toxic fossil fuels - our toxic fossil fuel resources before they run out?"
"35,059",148,Speech,Tony Jones,"Okay, let's start with Nick Minchin, because you do want to bring this back to an energy debate, as you've just said in the documentary. You'd like to efficiently harness the energy of the sun."
"35,060",148,Speech,Nick Minchin,"I think it is an energy debate and I welcome that question and I think it's appropriate for you to thank all those who have been part of the coal industry and the coal industry, I think it's still our biggest export industry. It employs thousands upon thousands of Australians. It has been a great industry and it has enabled Australia to have value adding industries because we've had a comparative advantage in cheap energy. So we should all be very grateful that we are blessed with some of the greatest coal resources in the world. I mean, I say in that documentary that ultimately because, by definition, these fossil fuel resources are finite, that humanity will make a transition at some point to alternative fuels and there'll be transitional fuels. It might be hydrogen, it might be nuclear, it might be, you know, more gas in the meantime."
"35,061",148,Speech,Tony Jones,We see you in the documentary championing solar power.
"35,062",148,Speech,Nick Minchin,"I suppose I'm in the Lomborg camp and I'm really pleased that I arranged for us to go and see Bjorn Lomborg. I think he's a really interesting guy and he makes the point that what we should be trying to do, and I support this, is putting more of our effort into research and development into making things like solar affordable and cost competitive because at the moment it is simply not cost competitive..."
"35,063",148,Speech,Tony Jones,Do you agree with him on the...
"35,064",148,Speech,Nick Minchin,...and I don't agree...
"35,065",148,Speech,Tony Jones,Do you agree with him on the hundred billion dollars a year he says needs to be spent?
"35,066",148,Speech,Nick Minchin,"Well, he's taking it as a proportion of global GDP. I think that would be much better spent on R&D into solar than on trying to mitigate uselessly emissions of CO2 from human activity, which will make basically no difference to the temperature of the planet."
"35,067",148,Speech,Tony Jones,"Okay, let's go to Anna Rose. Did you think watching Nick Minchin there that he was making a big shift?"
"35,068",148,Speech,Anna Rose,"I felt it was a breakthrough moment when we did reach our agreement that we need to move Australia away from fossil fuels. As Jenny said they are harming our environment. They're harming our health and we live in a country that is the sunniest country in the world, one of the windiest. If we can't transition to renewable energy here no one can do it. But at the moment Australia is not leading, by any stretch of the imagination, on renewable energy. In fact we're lagging behind. Now, there are 130 moving parts in a wind turbine. Who do we want to be manufacturing those parts? Do we want them to be made overseas or do we want them to be made here with Australian workers. Now, Nick mentioned that there's a lot of people that work in the coal industry. That's true but actually more people are directly employed at Bunnings than in coal mining and we need to be looking for a future where we're creating new jobs, new industries, innovation and, most importantly, stopping the harm that the coal industry is doing to our environment. And I won't even get started on the Great Barrier Reef, which is about to potentially be destroyed by digging up the Galilee Basin, which is the third largest carbon source in the world and then having ships going through the reef to export that and cause climate change everywhere else."
"35,069",148,Speech,Tony Jones,"Okay, we've got a video question on the solar power question. It comes from Darren Lewin-Hill. We'll go to that before we come to the rest of our panellists. He's in Northcote Victoria."
"35,070",148,Speech,Darren Lewin-Hill,"Clive Palmer, clean coal may never prove workable. Concentrated solar thermal power is operating right now in Spain and is capable of supplying base-load power here in Australia. Why don't you throw your billions behind such renewable, zero-emissions technologies instead of high-emissions coal, which causes health and environmental damage on top of its proven contribution to climate change?"
"35,071",148,Speech,Tony Jones,Clive Palmer?
"35,072",148,Speech,Clive Palmer,"Well, first of all I'd say that we have to realise we all are mortal. We all live on a small planet. We all breathe the same air. I think all of us want a good future for our children and I think we want the sort of future that we've had in Australia, the lifestyle we've got. If you go to India, China and other countries, there's over two billion, nearly three billion people in Asia and elsewhere that have got a very subsistent life that deserve a better future. We've had the benefits of building our economy with coal on a sustainable grown rate and it's easy for us to say we'll deny you and your family that opportunity. I don't think overall that's good for Australia. I don't think it's good for the region and there isn't any other fuel at the moment which is competitive with coal. If there was we should be using it. Now, if you don't believe me, if you're really committed, turn off your television set, turn off this light, because we're all benefitting. That documentary, 30 tonnes of carbon dioxide was used in making that documentary. We shouldn't have done it, if we really believe that. You shouldn't have gone on the airplane but you did. 97 per cent of carbon dioxide is by natural sources."
